uic,uic_hierarchy,uic_name,oh_gcss,total_fmc_gcss,total_nmc_supply,total_nmc_maintenance,equipment_description,model
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",6,6,0,0,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGTAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA]","1ST SQUADRON, 7TH CAVALRY REGIMENT",1,1,0,0,TRUCK: M1120A4 WITH ECHU,M1120A4 ECHU
WAGTT0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTT0]","1ST SQUADRON, 7TH CAVALRY REGIMENT HHT",8,5,2,1,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",11,4,4,3,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH2DE0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DE0]",115TH SUPPORT BATTALION COMPANY E,7,5,0,2,TRUCK TANK: WO/WINCH,M978A4WOW
WH2DJ0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WH2DJ0]",115TH SUPPORT BATTALION COMPANY I,1,0,1,0,TRUCK WRECKER: TACTICAL 8X8 HEAVY EXPANDED MOBILITY W/WINCH,M984A2R1
WH2DE0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DE0]",115TH SUPPORT BATTALION COMPANY E,0,0,0,0,TRUCK: M1075A1 WITH ECHU,M1075A1
WH2DG0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH2DG0]",115TH SUPPORT BATTALION COMPANY G,8,6,2,0,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",6,6,0,0,TRUCK TANK: WO/WINCH,M978A4WOW
WH2DAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA]",115TH SUPPORT BATTALION,4,2,2,0,TRUCK AMBULANCE: 4 LITTER ARMD 4X4 W/E (HMMWV),M997A3
WH2DH0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA, WH2DH0]",115TH SUPPORT BATTALION COMPANY H,2,0,2,0,TRUCK WRECKER: M984A4,M984A4WO/W
WAGRB0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA, WAGRB0]","2D BATTALION, 8TH CAVALRY REGIMENT COMPANY B",14,11,3,0,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,55,44,8,3,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WH2DD0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WH2DD0]",115TH SUPPORT BATTALION COMPANY D,1,1,0,0,TRUCK: M1120A4 WITH ECHU,M1120A4 ECHU
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,1,1,0,0,TRUCK TANK: FUEL SERVICING 2500 GALLON 8X8 HEAVY EXP MOB W/WINCH,M978A2R1WW
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,4,2,2,0,TRUCK AMBULANCE: 4 LITTER ARMD 4X4 W/E (HMMWV),M997A3
WAGFFF,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF]",1ST BRIGADE COMBAT TEAM 1ST CAVALRY DIVISION,87,73,13,1,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WH2DAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA]",115TH SUPPORT BATTALION,6,4,1,1,TRUCK: M1075A1 WITH ECHU,M1075A1
WAGTD0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTD0]","1ST SQUADRON, 7TH CAVALRY REGIMENT COMPANY D",1,1,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",6,3,2,1,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGTC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTC0]","1ST SQUADRON, 7TH CAVALRY REGIMENT TROOP C",2,2,0,0,CARRIER 120 MILLIMETER MORTAR: SELF PROPELLED ARMORED,M1064A3
WH2DAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA]",115TH SUPPORT BATTALION,5,5,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH2DE0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DE0]",115TH SUPPORT BATTALION COMPANY E,2,1,1,0,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGTAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA]","1ST SQUADRON, 7TH CAVALRY REGIMENT",2,1,1,0,TRUCK WRECKER: M984A4,M984A4WO/W
WH2DE0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DE0]",115TH SUPPORT BATTALION COMPANY E,4,3,0,1,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",29,23,5,1,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WH2DE0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DE0]",115TH SUPPORT BATTALION COMPANY E,2,1,1,0,TRUCK: PALLETIZED LOADING,M1075A1
WH4GAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA]","2D BATTALION, 12TH CAVALRY REGIMENT",8,6,2,0,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WH2DG0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH2DG0]",115TH SUPPORT BATTALION COMPANY G,6,4,2,0,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGNT0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WAGNT0]","2D BATTALION, 5TH CAVALRY REGIMENT HHC",1,1,0,0,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WAGTC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGTAA, WAGTC0]","1ST SQUADRON, 7TH CAVALRY REGIMENT TROOP C",1,0,1,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH2DA0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA, WH2DA0]",115TH SUPPORT BATTALION COMPANY A,0,0,0,1,TRUCK CARGO: HEAVY PLS TRANSPORTER 15-16.5 TON 10X10,M1075
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",1,0,1,0,TRUCK: M1075A1 WITH ECHU,M1075A1
WAGRAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA]","2D BATTALION, 8TH CAVALRY REGIMENT",2,0,2,0,TRUCK WRECKER: M984A4,M984A4WO/W
WH4GAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA]","2D BATTALION, 12TH CAVALRY REGIMENT",10,9,1,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH2DH0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA, WH2DH0]",115TH SUPPORT BATTALION COMPANY H,6,6,0,0,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WH2DJ0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA, WH2DJ0]",115TH SUPPORT BATTALION COMPANY I,6,3,2,1,RECOVERY VEHICLE FULL TRACKED: HEAVY M88A2,M88A2
WAGNAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGNAA]","2D BATTALION, 5TH CAVALRY REGIMENT",8,8,0,0,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
WAGRC0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WAGRAA, WAGRC0]","2D BATTALION, 8TH CAVALRY REGIMENT COMPANY C",1,1,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH4GA0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH4GA0]","2D BATTALION, 12TH CAVALRY REGIMENT COMPANY A",1,1,0,0,CARRIER PERSONNEL FULL TRACKED: ARMORED (RISE),M113A3
WH4GAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA]","2D BATTALION, 12TH CAVALRY REGIMENT",4,4,0,0,CARRIER 120 MILLIMETER MORTAR: SELF PROPELLED ARMORED,M1064A3
WH4GT0,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA, WH4GT0]","2D BATTALION, 12TH CAVALRY REGIMENT HHC",1,1,0,0,ABRAMS M1A2 SEP V3:,M1A2 SEP V3
WH4GAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH4GAA]","2D BATTALION, 12TH CAVALRY REGIMENT",0,0,1,0,TRUCK CARGO: TACTICAL 8X8 HEAVY EXPANDED MOB W/LHS,M1120A2
WH2DAA,"[WDARFF, WARCFF, W3YBFF, WAT4FF, WAGEFF, WAGFFF, WH2DAA]",115TH SUPPORT BATTALION,25,20,3,2,TRUCK PALLETIZED (LHS): M1120A4,M1120A4WOW
